comparison,p_value,active_features,active_group
HSP90B1_vs_MYD88,3.37989874925036e-19,ABL2/ACTR3/ANKRD11/APBB1IP/ARF6/CD47/CD99/CFLAR/CMPK1/CNN2/DERL1/EMC10/ERBIN/GOLGB1/GPX4/HDAC9/HEXB/ITGAV/ITGB5/KCNQ4/KPNA4/MYH9/NORAD/NUDT14/PDLIM5/PFKP/PLIN2/PPP1CB/PRDX4/PRKAR2A/PTPN12/QKI/RBBP6/RFLNB/SCPEP1/SEC62/SELENOF/STARD4/TNS3/TPRA1/UPP1/WASF2/YWHAG/ZC3H12A/ZYX,5/6/11/13/14
IRAK4_vs_MYD88,1.10734381327381e-24,ACTR3/ALAS1/ANKRD11/APBB1IP/ARGLU1/ATF4/BUB3/CCPG1/CD99/CENPF/CFLAR/CKS1B/CLIC4/CYTH2/DENND4A/DOCK8/ENG/ETV3/FKBP5/GDF15/GTF2B/H2AFV/HBEGF/HDAC9/HDGF/HES4/HMGB2/HNRNPH1/HNRNPUL1/IL1A/ITGAV/ITGB5/JPT1/KCNQ4/KLF3/KLF5/KLF6/KRT10/LMO2/MAFG/MANF/MED13L/MED28/METRNL/NCOA7/NFKBIZ/OSGIN2/PDLIM5/PLXNB2/POU2F2/PPARD/PPP1CB/PRDX4/PRKAR2A/PTPN12/RBBP6/RBM23/RFLNB/RNF5/SATB1/SERTAD2/TIPRL/TNS3/TPRA1/TYMP/WASF2/YWHAG/ZYX,3/12/13/14/15/18/32
TRAF6_vs_MYD88,1.16997319821504e-23,ABL2/ACTR3/ALAS1/ANKRD11/APBB1IP/ARGLU1/BCL9L/CD99/CFLAR/CHMP4B/CLIC4/DERL1/EMC10/ENG/ERBIN/GOLGB1/HDAC9/HDGF/HES4/HGSNAT/ITGB5/KCNQ4/KLF5/KRT10/LAMP1/M6PR/MED13L/MED28/MFSD1/MYL6/NCK2/NCOA7/NENF/NFKBIZ/NORAD/NPTN/OPTN/PDLIM5/POU2F2/PPARD/PPP1CB/PRDX4/PRKAR2A/PTPN12/RBBP6/RFLNB/SATB1/SERTAD2/STAT5A/TNS3/TPRA1/WASF2/YWHAG/ZYX,2/3/4/5/13/14
IKBKB_vs_MYD88,1.6226907565716e-16,ALAS1/ANKRD11/ARGLU1/ATF4/AZIN1/BCL3/BCL9L/CCPG1/CENPF/CFLAR/CHD4/CLIC4/COMMD6/COX17/CRTAP/DAP/DOCK8/ETV3/FKBP5/FOSL2/GPBP1/GTF2B/H2AFV/HDAC9/HDGF/HES4/HNRNPH1/HNRNPUL1/JPT1/JUN/KCNQ4/KLF3/KLF5/LMO2/LPGAT1/MAFB/MAFG/MAML2/MED13L/MED28/NBN/NCK2/NCOA7/NENF/NFKBIZ/NPTN/OGT/PBX3/PEBP1/PLXNB2/POU2F2/PPARD/PRDM1/PRDX4/PRDX5/PTBP3/PTEN/PTPRJ/RAP2C/RBBP6/RFLNB/RLF/RNF5/RPS27L/SATB1/SELENOF/SERTAD2/STAT5A/TAOK3/VCP/WASF2/ZFAND5,3/4/14/19/32
RNF31_vs_MYD88,2.93815364437663e-10,ANKRD11/ARID5B/CFLAR/CLIC4/CYTH2/DENND4A/EIF5/EMC10/HDAC9/KCNQ4/MYL6/NDFIP1/PDLIM5/PRDX4/RASGEF1B/RBBP6/RFLNB/TIPRL/WASF2,14/18
MEF2C_vs_MYD88,9.16411236602629e-21,ALAS1/AMPD3/ARGLU1/ATG12/ATP5IF1/AZIN1/BCL3/BCL9L/CCPG1/CD47/CDC42/COMMD6/COX17/DUSP2/EGFL7/EIF4A3/ETV3/GPI/GTF2B/HDGF/HERC1/HES4/IER5/JUN/KLF3/KLF5/LAMP1/LIPA/LMO2/M6PR/MAFB/MAFG/MAML2/MED13L/MED28/NAPRT/NBN/NCK2/NCOA7/NENF/NFKB2/NFKBIZ/NPTN/OGA/PBX3/PDXK/PEBP1/PFKL/PLEKHB2/PLEKHO1/POU2F2/PPARD/PPP3CA/PRDX5/PSMA3/PSME1/PTBP3/RALA/RGS10/RPS27L/RUNX3/SATB1/SDC4/SERTAD2/SLC3A2/SPAG9/STAT5A/STIP1/TMEM165/TNFRSF1B/TSPO/UXT/VCP/WDR1/XRN2/ZEB2,2/3/4/6/10/16/19
SBDS_vs_MYD88,0.0120546863907368,"",""
CSNK1A1_vs_MYD88,0.671367679600601,APBB1IP/CDC42/HERC1/ITGB5/PLEKHO1/PPP3CA/PRKAR2A/PTPN12/SDC4/TNFRSF1B/ZYX,10/13
ARPC4_vs_MYD88,0.00278583687667851,"",""
PPP2R1A_vs_MYD88,1.38866365605646e-20,ANKRD11/CFLAR/CLIC4/COL6A1/CRTAP/ENG/HDAC9/KCNQ4/MYL6/PDLIM5/PRDX4/RBBP6/RFLNB/TNFAIP2/WASF2,14
