comparison,p_value,active_features,active_group
DNTTIP1_vs_YEATS4,0.567875146430124,FUS/HIST1H4C/PCLAF/TYMS,33
HSP90B1_vs_YEATS4,0.377361189289302,ACOX1/ADAM17/AIF1/CD47/DECR1/FYB1/GBP1/GPX4/HEXB/HMGB3/IFITM2/LGALS9/LITAF/MAP3K8/NME4/NMI/OTULIN/PLD4/PPP1CB/PSMA1/PTPRC/PUM1/RAC2/SLC16A3/SLC43A3/SMARCA5/TNS3/TPRA1/TRIB1/ZYX,6/11/13
IRAK4_vs_YEATS4,0.0470092429020398,ZYX,13
TRAF6_vs_YEATS4,0.808510800798626,BCL3/CD47/COPB1/CYB5R3/DNAJB14/ECM1/ERBIN/HSPB1/LGALS9/LMAN1/MRPL15/NFAT5/NPTN/OGFRL1/OGT/PAIP2/PDGFA/PPP1CB/PSMA1/RGS10/RNF19A/SEC11C/SEC31A/SELENON/SGK1/SLC39A7/SPI1/TNS3/TPRA1/ZYX,4/6/8/13/17
IKBKB_vs_YEATS4,0.911598206062323,BCL3/CARD19/DOT1L/ECM1/FAM89B/HPCAL1/NCK2/NEK6/NFAT5/NPTN/OGT/PAFAH1B1/PAIP2/PDGFA/PPP2CB/RGS10/RNF19A/SELENON/SLC39A7/SPI1/UBE2B,4/17
RNF31_vs_YEATS4,0.751830608836859,"",""
MEF2C_vs_YEATS4,0.0373217672019722,CD47/CD58/CYB5R3/ECM1/FXR1/GBP1/HMGB3/IRAK2/LGALS9/MAP3K8/NMI/NPTN/PLCG2/PLD4/PSMA1/PTPRC/RAB1A/SELENOW/SMARCA5/TRIB1,4/6/8
SBDS_vs_YEATS4,0.308235769117852,"",""
CSNK1A1_vs_YEATS4,0.016027752576251,ADAM17/AIF1/APBB1IP/CD47/GBP1/HMGB3/ITGB5/LGALS9/MRC2/MS4A7/OGFRL1/PLD4/PPP1CB/PSMA1/RAB1A/SMARCA5/TNS3/TPRA1/ZYX,6/13
ARPC4_vs_YEATS4,0.292981963495122,"",""
PPP2R1A_vs_YEATS4,0.953275393139171,NDUFAF8/PHB/SAR1B/TIMM13/TUFM/VMA21,34
MIDN_vs_YEATS4,0.456429139600086,"",""
XPR1_vs_YEATS4,0.763331154973138,BCL3/CD276/ECM1/FAM89B/HPCAL1/LAT2/NCK2/NCKAP1L/NFAT5/NPTN/OGT/PAFAH1B1/PAIP2/PDGFA/PPP2CB/PTPRJ/RGS10/RNF19A/SKAP2/SPI1,4/12
TYK2_vs_YEATS4,0.890526593912185,PARP9,31
CYLD_vs_YEATS4,0.579554195880248,NUCB1,18
ADO_vs_YEATS4,0.373407116564155,"",""
PGM3_vs_YEATS4,0.177222522581573,"",""
MAPK1_vs_YEATS4,0.822218499892808,NECTIN3/NME4,11/37
TLR2_vs_YEATS4,0.0478665971757349,ADAM17/AIF1/OGFRL1/PPP1CB/TNS3/TPRA1/ZYX,13
STK11_vs_YEATS4,0.120051263021471,"",""
SEPHS2_vs_YEATS4,0.15787248685304,"",""
STAT2_vs_YEATS4,0.652421205240055,"",""
MAP3K7_vs_YEATS4,0.809351524039143,"",""
RAB5C_vs_YEATS4,0.0551618630065457,"",""
ALG2_vs_YEATS4,0.349598731217037,"",""
MYD88_vs_ATXN7L3,7.09404993309451e-06,ABL2/CD99/ITGAV/MRC2/NORAD/PDLIM7/TPRA1/ZYX,13
IKBKG_vs_ATXN7L3,6.24524743265429e-06,ABHD17A/AKR1A1/AP3D1/ARF6/CEP350/CHTOP/CMPK1/DERL1/DNAJC15/DRAP1/FERMT3/GOLGB1/H2AFV/HEXB/IST1/JMJD1C/JPT1/KCNN4/KPNA4/LMO2/MAFG/MED13L/MED28/MYL12A/MYL9/NCOA4/NUDT14/OPTN/PCM1/PDIA4/PGD/SEC61G/SEC63/SERTAD2/SFT2D1/SLC16A3/SMC1A/SSBP3/STMN1/TCF25/TNPO1/UBE2D3/ZNF706,3/5/11/21/32
TAB1_vs_ATXN7L3,0.0596183629407474,"",""
IFNAR1_vs_ATXN7L3,1.10540543885321e-06,ATG12/CDC37/CELF1/CFD/CSNK1A1/DDX58/DTX3L/GBP3/HLA-E/HMGB3/IFNAR1/IRAK2/LGALS9/NINJ1/NPC2/OAS2/PHACTR4/PJA2/PML/PNPT1/PSMA1/PTPN1/PUM1/RAB1A/RBCK1/RTN4/SAMHD1/STIP1/STMP1/TAP1/USP18,6/31
TXNDC17_vs_ATXN7L3,0.388361717866624,"",""
FLI1_vs_ATXN7L3,0.833759406408199,"",""
MAPK14_vs_ATXN7L3,1.57193106300301e-06,PCLAF/SUPT16H/TRA2B/TYMS,33
KIDINS220_vs_ATXN7L3,5.06327560166066e-08,ARHGEF2/ATF6B/ATP5F1B/ATP5F1D/ATP5PD/ATP5PF/ATP5PO/ATP6AP2/ATP6V1H/C8orf59/CCDC167/CHCHD10/CHMP4A/CHMP4B/ECHS1/EIF4A3/EIF4E/ETFB/HGSNAT/HOOK3/LST1/MDH1/MED13/MFSD10/MIF/MRPL37/NDUFA10/NDUFA12/NDUFA13/NDUFA8/NDUFB3/NDUFB9/NEU1/PCLAF/PLEKHB2/POLR2I/PPM1G/PSME2/RHEB/RNF11/RPL26L1/SERINC1/SF3B5/SUCLG1/SURF4/TMEM141/TNFRSF1B/TXN2/TYMS/UBE2E1/UBE2L3/UBE2Z/UGCG/UQCC2/UQCRC2/UQCRH/VAPA/VDAC2/VOPP1/VPS35,2/10/24/33
MAP2K1_vs_ATXN7L3,1.72845434965568e-08,AP3B1/ARHGAP10/ARHGAP26/CYTH2/DENND4A/EIF5/FBXW5/FERMT3/GDI2/JMJD1C/MOB1A/MYL12A/MYL9/NUCB1/PSD3/RASGEF1B/TIPRL,18/21
YEATS4_vs_ATXN7L3,3.77099553606067e-05,"",""
AHR_vs_ATXN7L3,3.59117900311946e-08,ABCF1/AKR1A1/ARID1B/CCPG1/COPA/COPB2/DGAT1/DNAJC1/DRAP1/EBI3/EDF1/EIF1/EIF4G3/ERP29/FOXP1/GPNMB/GTF2B/HNRNPC/HSPH1/ICOSLG/IL4I1/JAK1/LAT2/LCP2/LMAN2/MAML2/MED13L/MLEC/NME4/PAIP1/PFKP/PGD/PNP/RELB/RIF1/SATB1/SEC61A1/SERTAD2/SLC16A3/SSR1/TCF25/ZNF706,3/8/11/12
PRDM1_vs_ATXN7L3,0.1182014773902,TYMS,33
TNFAIP3_vs_ATXN7L3,1.08295296120702e-12,ABCF1/AL035446-1/ARID1B/ATG12/C1orf54/CDC37/CELF1/CSNK1A1/DDX24/EBI3/EIF4G3/GBP3/GPATCH2L/H2AFJ/HLA-C/HMGB3/IFNAR1/IL4I1/JAK1/LCP2/LGALS9/PAIP1/PET100/PJA2/PNRC2/POLE4/PTGER4/PTPN1/PUM1/RBBP6/RELB/RIF1/RNF181/RSRP1/SMCO4/SNHG25/SNHG9/SPATS2L/STMP1/SUSD6/THAP2/TIMMDC1/TM2D2/TREM2/TROVE2/TXNL1/WDR26,1/6/12/14
JUNB_vs_ATXN7L3,0.000867822136097927,ARHGAP10/ARHGAP26/CCND3/CYTH2/DENND3/DENND4A/EIF5/GDI2/JUN/MOB1A/NUCB1/PIM1/PSD3/RASGEF1B/RPS27L/SELENON/TIPRL,17/18/19
TIRAP_vs_ATXN7L3,7.07848865808774e-06,ASAP1/CCPG1/DIAPH1/DRAP1/GEM/KCNN2/OGA/PFKL/PSMD11/TCF25/TRAPPC2L/YWHAQ,3/16/23/38
TRIB1_vs_ATXN7L3,5.23231888977713e-07,ATG12/CDC37/CELF1/CLIC4/CRTAP/CSNK1A1/GBP3/HMGB3/IFNAR1/LGALS9/PDLIM5/PJA2/PLCG2/PUM1/RBBP6/STIP1/STMP1/TREM2,6/14
PICALM_vs_ATXN7L3,0.994922133999448,"",""
EHMT2_vs_ATXN7L3,2.72876863962584e-07,ARL8B/ATP13A3/ATP6AP2/ATP6V1F/ATP6V1H/CCT8/CD55/CD82/CHMP4B/CTSD/CTSZ/GNAI3/HGSNAT/LAMP1/MFSD10/NAPRT/NCSTN/NEU1/PECAM1/PLEKHB2/PSAP/PTP4A2/RAB10/RAB5C/SLC3A2/SNX2/SNX6/TAPBP/TCIRG1/VAPA/VOPP1/VPS26A,2
STAT1_vs_ATXN7L3,2.48844946518079e-05,APOL6/COPS2/DDX58/DTX3L/EPSTI1/ETF1/FAM120A/FAM96A/G3BP2/IPO7/NARS/OAS2/OLA1/PHACTR4/PML/PNPT1/PRPF8/RWDD1/SAMHD1/TAP1/UBE2A/UBE2K/UBE2L6,30/31
RELA_vs_ATXN7L3,3.62434029614467e-13,ABCF1/ABHD17A/ADAM9/AL035446-1/AP3D1/ARGLU1/ARID1B/ARID4B/CCPG1/CD276/CHTOP/CPEB4/DDX24/DNAJC15/DRAP1/DUSP4/EBI3/EDF1/EIF1/EIF4G3/ETV3/FAM133B/FOSL2/FOXP1/GOLGB1/GPATCH2L/GPNMB/GTF2B/H2AFJ/HDGF/HIVEP3/HNRNPC/ICOSLG/IL4I1/IRF2BP2/IRF8/IST1/JAK1/KLF3/KLF6/KPNA4/LCP2/LIPA/LMO2/LYST/MAFG/MAML2/MED13L/MED28/MIER1/NCKAP1L/NCOA4/NFAT5/NPTN/OGT/OPTN/PAIP1/PCM1/PEBP1/PET100/PLXDC2/PNP/PRRC2C/PSMD4/PTPRJ/RASSF5/RELB/RIF1/RNF181/RSRP1/RUNX1/SCNM1/SEC63/SERTAD2/SFT2D1/SH3BGRL/SNHG9/SPATS2L/TCF25/THAP2/TIMMDC1/TM2D2/TNFRSF9/TXNL1/UBE2D3/WDR26/YME1L1/ZNF706,1/3/4/5/7/12
TLR1_vs_ATXN7L3,1.73738136893889e-09,ARHGAP10/ARHGAP26/CYTH2/DENND3/DENND4A/EIF5/GDI2/MOB1A/NUCB1/PSD3/RASGEF1B/TIPRL,18
CEBPG_vs_ATXN7L3,0.887960943962701,"",""
IRAK1_vs_ATXN7L3,5.2351860879744e-09,AFF4/AKR1A1/ARHGAP10/ARHGAP26/ATP6AP2/ATP6V1H/CHMP4B/CPEB4/CYTH2/DENND3/DENND4A/EIF4A3/EIF5/ERP29/ETF1/FAM120A/FAM96A/GDI2/IPO7/MFSD10/MOB1A/NARS/NORAD/NUCB1/OLA1/PDLIM7/PGD/PSD3/RASGEF1B/SDC4/SLC16A3/SNX6/TIPRL/UBE2A/VAPA/VOPP1/VPS26A/YME1L1/ZNF622,2/7/10/11/13/15/18/30
MAP2K2_vs_ATXN7L3,2.44697081855106e-08,ARHGEF2/ATF5/ATP5F1B/ATP5PF/BOLA3/CCDC167/CHCHD10/CYCS/ECHS1/EIF4A3/EIF4E/ERP29/ETFB/GDF15/HERC1/HINT1/HOOK3/LAMP2/LST1/MIF/MRPL37/NDUFA10/NDUFA8/NDUFAF3/NDUFB3/NDUFB9/NRDC/PFKP/PGD/RNF11/RPL26L1/SERINC1/SF3B5/SLC16A3/SUCLG1/TMEM141/TNFRSF1B/TXN2/UBE2L3/UBE2Z/UGCG/UQCC2/UQCR10/UQCRC1/VDAC2,10/11/15/24
DNTTIP1_vs_ATXN7L3,0.797457891737188,CAMTA1/POLR2F/TYMS/UBE2N,33/41
HSP90B1_vs_ATXN7L3,6.48382134720477e-11,ABHD17A/AKR1A1/ANP32A/AP1S2/AP2B1/AP3D1/ARF1/ARF6/ATG12/BNIP3L/CDC37/CELF1/CEP350/CFD/CHST11/CHTOP/CLIC4/CMPK1/CNPY3/CPEB4/CRTAP/CSNK1A1/DERL1/DNAJC15/DYNLT1/ERP29/FXR1/GBP1/GBP3/GOLGB1/HLA-C/HM13/HMGB3/HSPA9/IFNAR1/IRAK2/IST1/KCNN4/KIF5B/KPNA4/LGALS9/LYST/MESD/MPC2/NCOA4/NFKBIE/NME4/NORAD/NPC2/NUDT14/OPTN/OTULIN/PCM1/PDCD6/PDIA4/PDLIM5/PFKP/PGD/PJA2/PLCG2/PLIN2/PSMA1/PTGER4/PTP4A3/PTPN1/PTPRC/PUM1/RAB1A/RAB8B/RASA1/RBBP6/RIPK2/ROMO1/RTN4/SEC61G/SEC63/SELENOF/SFT2D1/SLC16A3/SRP14/STIP1/STMP1/TMEM50A/TRAM1/TREM2/UBE2D3/UHMK1/WASF2/YME1L1/YWHAE/ZFAND6/ZNF622,5/6/7/11/13/14
IRAK4_vs_ATXN7L3,1.98087253811582e-08,AFF4/ARGLU1/ARHGAP10/ARID4B/CCPG1/CD70/CLIC4/CRTAP/CYTH2/DENND3/DRAP1/EDF1/EIF5/ETV3/FOSL2/FOXP1/GDF15/GRB2/GTF2B/HBEGF/HDGF/HIF1A/HIVEP3/IRF8/JUND/KDM6B/KLF3/KLF5/KLF6/LIPA/LMO2/LYN/MAFG/MAML2/MANF/MED13L/MED28/MEF2A/MOB1A/MRC2/NAMPT/NORAD/NUCB1/PBX3/PDLIM7/PPARD/PSD3/RAP2C/RASGEF1B/RBBP6/RNF130/RUNX1/RUNX3/SATB1/SERTAD2/STAT3/TCF25/TMED5/TXNRD1/WTAP/ZNF706/ZYX,3/13/14/15/18/37
TRAF6_vs_ATXN7L3,5.41308916094023e-09,ABHD17A/ADAM9/ADRM1/AP1S2/AP3D1/ARF1/ARF6/ARHGEF2/ATF6B/ATP5F1B/ATP5F1D/ATP5PF/ATP5PO/C8orf59/CCDC167/CCPG1/CEP350/CHCHD10/CHMP4A/CHTOP/COPA/COPB1/CSNK1D/DERL1/DGAT1/DNAJC15/DRAP1/DYNLT1/ECHS1/ETFB/FUOM/GAMT/GOLGB1/GTF2B/HDGF/HIVEP3/HM13/HSD17B12/IER5/IST1/KCNN4/KIF5B/KPNA4/LAMP2/LIPA/LMAN2/LMO2/LYST/MAFG/MAML2/MDH1/MED28/MESD/MIER1/MIF/MLEC/MRPL36/MRPL37/NCOA4/NDUFA10/NDUFA12/NDUFA8/NDUFAF3/NDUFB1/NDUFB10/NDUFB3/NDUFB9/NFAT5/NFKBIE/NORAD/NPTN/NRDC/OPTN/PBX3/PCM1/PDCD6/PDIA4/POLR2I/PRDX3/PSMC3/PSME2/PTP4A3/PTPRJ/RAP2C/RGS10/RNF11/RPL26L1/RUNX1/SCARB2/SEC31A/SEC61G/SEC63/SERINC1/SERINC3/SERTAD2/SF3B5/SFT2D1/SPPL2A/SSR1/SUCLG1/SURF4/TCF25/TEX264/TXN2/UBE2D3/UBE2E1/UBE2L3/UFD1/UQCC2/UQCRC2/UQCRH/VDAC2/VDAC3/VPS13C/VPS35/ZNF706,3/4/5/8/13/24
IKBKB_vs_ATXN7L3,6.03197706240052e-11,ABHD17A/ACADVL/ADAM9/AP1S2/AP3D1/ARF1/ARF6/ARGLU1/ARID4B/ARPC5L/AUP1/BID/CARD19/CCND3/CCPG1/CDK13/CEP350/CHTOP/CLIC4/DNAJC15/DOT1L/DRAP1/DUSP23/DUSP4/DYNLT1/ECM1/EDF1/EIF4EBP1/ETV3/FOSL2/FOXP1/GCLM/GOLGB1/GTF2B/HDGF/HIVEP3/HM13/IFI27/IL1RN/IST1/JUND/KCNN4/KLF3/KLF6/KPNA4/LAMTOR5/LARP1/LIPA/LMO2/LSM7/LYST/MAFG/MAML2/MED13L/MED28/MEF2A/MIER1/MINOS1/MRPL18/MRPL54/NCK2/NCOA4/NFAT5/NPTN/NSRP1/NUDC/OGT/OPTN/P4HB/PBX3/PCM1/PDCD6/PDIA4/PEBP1/PMAIP1/POLR2J/PPP1R15A/PPP1R7/PPP2CB/PPP2R1A/PSMA5/PSMB2/PTPRJ/RAP2C/RBBP6/RGS10/RICTOR/RNPS1/RPS27L/RRP36/RUNX1/SATB1/SEC61G/SEC63/SELENON/SERTAD2/SEZ6L2/SFT2D1/SH3GLB1/SLU7/SMARCA4/SPCS1/SRP14/SRSF9/STUB1/SUPT4H1/TAOK3/TCF25/TM9SF2/TRAM1/TRAPPC2L/TRMT112/UBE2B/UBE2D3/VGLL4/ZBTB10/ZBTB7A/ZNF706,3/4/5/14/17/19/27/28/38
RNF31_vs_ATXN7L3,1.81443838451726e-05,CAPRIN1/CDC5L/CLIC4/CRTAP/KCMF1/MRFAP1,14/35
MEF2C_vs_ATXN7L3,8.06179679347687e-10,ABRACL/ACTN1/ACTN4/ADAM9/ARPC3/ATG12/ATP6AP1/ATP6AP2/ATP6V1H/CAPZA1/CCND3/CCPG1/CD55/CD82/CDC37/CDC42EP3/CELF1/CFD/CHMP4B/CNIH4/COPA/COPB1/COPB2/CORO1B/COTL1/CSNK1A1/CYFIP1/DEGS1/DGAT1/DHRS3/DNAJC1/DPM3/DRAP1/DSTN/EDF1/ETV3/EVL/FOSL2/FOXP1/FXR1/GBP3/GTF2B/HDGF/HGSNAT/HMGB3/IFNAR1/JUN/KLF6/LASP1/LCP1/LGALS9/LIPA/LMAN2/LMO2/LPP/MAFG/MAML2/MARCKSL1/MED13L/MED28/MEF2A/MFSD10/MIER1/MLEC/MMP14/MTSS1/MYL12B/MYO10/MYO1E/NCSTN/NEU1/NFAT5/NFKB2/OGT/PEBP1/PECAM1/PJA2/PTGS1/PTP4A2/PTPRJ/PUM1/PXDC1/RAB5C/RAC1/RGS10/RHOC/RHOG/RPS27L/SCARB2/SCD/SEC22B/SEC31A/SEC61A1/SELENOW/SERTAD2/SSR1/SSR2/STAG2/STIP1/STMP1/TCF25/TEX264/TPM4/TREM2/TRIP10/VAPA/VOPP1/VPS13C/VPS26A/ZNF622/ZNF706,2/3/4/6/7/8/9/19
SBDS_vs_ATXN7L3,0.00341892156649621,"",""
CSNK1A1_vs_ATXN7L3,1.36669555960566e-09,ADAM9/ARHGAP10/ARHGAP26/ATG12/BID/CDC37/CDK13/CELF1/CSNK1A1/CYTH2/DENND4A/EIF5/GBP3/GDI2/HMGB3/IL1RN/LGALS9/MIER1/NFAT5/NPTN/PJA2/PSD3/PTPRJ/PUM1/SELENON/STMP1/TREM2/UBE2B/UGCG/ZBTB7A,4/6/10/17/18
ARPC4_vs_ATXN7L3,0.950188642229755,"",""
PPP2R1A_vs_ATXN7L3,0.000165778674221604,ANKRD11/ARID5B/BASP1/C19orf53/C8orf33/CAPZB/CCT7/CFLAR/CLIC4/CRTAP/EIF3D/EMC10/ENG/ENO1/GADD45GIP1/HDAC9/KRT10/NME1/PDCD5/PDLIM5/PPP1R14B/PRDX4/PSMB5/RBBP6/RPS26/SAR1B/SELENOF/SF3B6/SRM/SSB/TIMM13/TKT/VMA21/WASF2,14/34
MIDN_vs_ATXN7L3,0.605048454738368,ABCF1/ARID1B/EBI3/EIF4G3/HSPH1/ICOSLG/IL4I1/JAK1/LCP2/PAIP1/PNP/RIF1,12
XPR1_vs_ATXN7L3,5.03277758933975e-13,ABCF1/ABRACL/ARHGAP10/ARHGAP26/ATF6B/ATP5F1B/ATP5PF/CAPZA1/CHCHD10/CHMP4A/COTL1/CYFIP1/DDOST/DENND4A/DSTN/EBI3/ECHS1/EIF5/EVL/FERMT3/FUOM/GDI2/GNB2/GSTK1/ICOSLG/IL4I1/JAK1/JMJD1C/LAMTOR4/LCP1/LCP2/LPP/LSM1/MIER1/MIF/MOB1A/MRPL37/MTSS1/MYL12A/MYO10/MYO1E/NDUFA12/NDUFAF3/NDUFB8/PAIP1/PDAP1/PFDN1/PPP1R18/PSD3/PTPRJ/RAC1/RBBP6/RELB/RHOG/RIF1/RPL26L1/SLTM/SPCS2/STAG2/SUCLG1/SURF4/TMED4/TPM4/TRIP10/UQCC2/VDAC3/VKORC1,4/9/12/14/18/21/24/29
TYK2_vs_ATXN7L3,7.64903324974503e-07,ARL8B/ATG12/ATP6AP2/ATP6V1F/ATP6V1H/CCT8/CD82/CDC37/CELF1/CHMP4B/CSNK1A1/CTSD/GBP3/GNAI3/HGSNAT/IFNAR1/LGALS9/MFSD10/NCSTN/NEU1/PJA2/PLEKHB2/PNPT1/PSAP/PSMA1/PTP4A2/PUM1/RAB7A/SMARCA5/SNX6/STIP1/STMP1/TAPBP/TREM2/VAPA/VOPP1/VPS26A,2/6/31
CYLD_vs_ATXN7L3,0.000526197637183745,ARHGAP10/ARHGAP26/ARHGEF2/ATP5F1B/ATP5F1D/ATP5PF/BOLA3/CCDC167/CHMP4A/CYTH2/DENND4A/EIF5/GDI2/MDH1/MIF/MOB1A/MRPL37/NDUFA12/NDUFAF3/NDUFB3/NUCB1/PSD3/RNF11/RPL26L1/SUCLG1/SURF4/TIPRL/UBE2L3/UFD1/UQCC2/VDAC2,18/24
ADO_vs_ATXN7L3,1.23936421290165e-10,ABCF1/AP3B1/ARID1B/CCT7/CD276/EBI3/EIF3D/FERMT3/ICOSLG/IL4I1/JAK1/JMJD1C/LCP2/NME1/PAIP1/PNP/PRRC2C/RBM23/SAR1B/TKT,12/21/34
PGM3_vs_ATXN7L3,4.76178222584262e-05,"",""
MAPK1_vs_ATXN7L3,5.93775503502452e-09,ARF4/ARHGAP10/ARHGAP26/ASAP1/DIAPH1/EIF4A3/EIF4E/GDI2/HS3ST3B1/KCNN2/MSN/NUCB1/PGD/PSD3/SLC16A3/UGCG/YWHAQ,10/11/18/23/37
TLR2_vs_ATXN7L3,4.43015356262354e-08,APBB1IP/CD99/CNN2/ITGAV/NORAD/PDLIM7/PPP1CB/TPRA1,13
STK11_vs_ATXN7L3,0.0142368387767876,ADAM17/APBB1IP/CD99/ITGAV/NORAD/PDLIM7/PPP1CB/RHOA/TPRA1/ZYX,13
SEPHS2_vs_ATXN7L3,0.0158586356417881,ATG12/CD47/CDC37/CELF1/CFD/CSNK1A1/GBP3/IFNAR1/LGALS9/OTULIN/PJA2/PLCG2/PUM1/STMP1/TREM2,6
STAT2_vs_ATXN7L3,0.00113326412251653,DDX58/DTX3L/OAS2/PHACTR4/PML/PNPT1/SAMHD1/TAP1/TRIM25/USP18,31
MAP3K7_vs_ATXN7L3,0.0792710236797839,"",""
RAB5C_vs_ATXN7L3,0.00137750241048193,ARL8B/ATP13A3/ATP6AP2/ATP6V1F/ATP6V1H/CCT8/CD55/CD82/CHMP4B/CHST11/CPEB4/CTSD/CTSZ/GNAI3/HGSNAT/MFSD10/NCSTN/NEU1/PECAM1/PLEKHB2/PTP4A2/RAB5C/RAB7A/VOPP1/VPS26A/YME1L1/ZNF622,2/7
ALG2_vs_ATXN7L3,0.0154286514475729,AFF4/AREG/CD70/GDF15/HBEGF/MANF/OSGIN2,""
MYD88_vs_AHR,5.68653096638809e-06,ABL2/ACTR3/APBB1IP/COL6A1/CRTAP/ENG/ERBIN/KCNQ4/LAP3/MS4A7/NORAD/PRDX4/PTPN12/TNS3,13/14
IKBKG_vs_AHR,5.89712844214192e-05,ABHD17A/AKR1A1/CCPG1/COMT/HEXB/JUND/KCTD20/KIF5B/KLF3/LMO2/LRP10/MARK3/MEF2A/MEIS2/MSRA/NFKBIE/NME4/NUDT14/OPTN/PBX3/PRDM1/RUNX1/SATB1/SCPEP1/SEC62/SEC63/STARD4/TALDO1/TNPO1/UXS1/ZC3H12A/ZEB2,3/5/11
TAB1_vs_AHR,0.611995492756759,"",""
IFNAR1_vs_AHR,9.16670188954125e-05,ABCF1/APOL6/ARID1B/CD276/CDK6/EIF4G3/GPNMB/IFIH1/IFIT1/IRF2BP2/ISG20/NECTIN2/OAS3/PLSCR1/PNPT1/RBM23/RELB/RNF213/SKAP2/TNFRSF9/TRIM25/TRIM38,12/31
TXNDC17_vs_AHR,0.730116474092908,"",""
FLI1_vs_AHR,0.103023414929746,"",""
MAPK14_vs_AHR,0.00290705563479784,CCPG1/MED28/PRDM1/PTBP3/SATB1,3
KIDINS220_vs_AHR,3.04055061567918e-06,ABCF1/ACOX1/AKR1A1/COMT/GPNMB/HEXB/ICOSLG/IRF2BP2/KCTD20/LCP2/MS4A7/MSRA/NECTIN2/NME4/NUDT14/OPTN/PDIA4/PGD/PKM/RBM23/RELB/SCPEP1/SEC63/SKAP2/SLC16A3/STARD4/TALDO1/TNFRSF9/TNPO1,5/11/12/13
MAP2K1_vs_AHR,0.288693726965946,ARGLU1/ATF4/CCPG1/DAXX/DDAH2/ELL2/GSK3B/JUND/KLF3/KLF5/MED13L/MED28/MEF2A/MEIS2/NFKB2/NFKBIZ/PBX3/POU2F2/PRDM1/RUNX1/SATB1/SDF2L1/STK17A/TNFSF10/ZEB2,3/7
YEATS4_vs_AHR,0.773833406887088,"",""
ATXN7L3_vs_AHR,4.29214022493658e-06,ABCF1/CAPZA1/CD276/CDC42EP3/CDK6/FBXW5/GPNMB/ICOSLG/IRF1/IRF2BP2/JAK1/JMJD1C/NECTIN2/PNP/PPP1R18/RASSF5/RBM23/RDX/RELB/SKAP2/STAG2/TNFRSF9/VKORC1,9/12/21
PRDM1_vs_AHR,0.107888101984631,"",""
TNFAIP3_vs_AHR,0.241678757310668,EFHD2/GLS/H1FX/NPDC1/PPIC/RBMS1/WDR26/ZFR,1/17
JUNB_vs_AHR,0.00196945011259572,"",""
TIRAP_vs_AHR,5.34426980288301e-09,ARGLU1/ATF4/CCPG1/JUND/KLF5/LMO2/MED13L/MED28/MEF2A/MEIS2/NCOA7/NFKB2/NFKBIZ/PBX3/PNPT1/POU2F2/PRDM1/RUNX1/SATB1/TRIM25/TRIM38/ZEB2,3/31
TRIB1_vs_AHR,0.0191385368820975,ADAM10/AKR1A1/BAZ1A/COMT/HEXB/KCTD20/LRP10/LYRM4/NME4/NUDT14/OSGIN2/PGD/PKM/PTP4A1/SCPEP1/SLC16A3/SPN/STARD4/TALDO1,11/15/20
PICALM_vs_AHR,0.120826035575983,ADAM10/BAZ1A/CPM/EIF3F/LYRM4/PTP4A1/SPN/STK10/TGFB1,20
EHMT2_vs_AHR,0.103744248198814,"",""
STAT1_vs_AHR,2.10346737922646e-06,APOL6/EPSTI1/IFIH1/IFIT1/KIF5B/MARK3/NFKBIE/OAS2/OAS3/OPTN/PARP14/PARP9/PDIA4/PLSCR1/PNPT1/RAB31/RBCK1/RNF213/SAMD9/SAMHD1/SEC61G/SEC62/SEC63/SP100/TNPO1/TRIM25/TRIM38/USP18,5/31
RELA_vs_AHR,2.36000081426642e-08,ABCF1/ARGLU1/ATF4/CCPG1/CD276/CDK6/CNN2/EBI3/GPNMB/ICOSLG/IKZF1/IRF1/IRF2BP2/JAK1/JUND/KLF3/LCP2/LMO2/MAFG/MED13L/MED28/MEF2A/MEIS2/MS4A7/NECTIN2/NFKB2/NORAD/PBX3/PPP1CB/PRDM1/PTBP3/RASSF5/RBM23/RELB/RUNX1/SATB1/SKAP2/TNFRSF9/ZEB2/ZFP36L2,3/12/13
TLR1_vs_AHR,0.000187351115370999,ANP32E/ARGLU1/ARL6IP1/ATF4/CCPG1/CENPF/JUND/LMO2/LPGAT1/MED13L/MED28/MEF2A/MEIS2/PBX3/PRDM1/PTTG1/RNF5/RUNX1/SATB1/TOP2A/ZEB2,3/32
CEBPG_vs_AHR,0.835070866410018,"",""
IRAK1_vs_AHR,0.00122510893973786,ANXA4/BAG1/BNIP3L/DAXX/GSK3B/ITM2C/MORF4L1/NRG1/PAK2/PEA15/STK17A/TNFSF10,""
MAP2K2_vs_AHR,0.00163647953101332,ABCF1/CD276/CDK6/EIF4G3/GPNMB/HEXB/ICOSLG/IKZF1/IRF1/IRF2BP2/JAK1/LAT2/MACF1/MSRA/NCAM1/NECTIN2/NME4/NUDT14/RBM23/RELB/RHEB/SCPEP1/SKAP2/STARD4/TALDO1/TNFRSF9/UGCG,10/11/12
DNTTIP1_vs_AHR,0.932971317232988,"",""
